wikipedia movie id,movie name,year
12832450,Cipher in the snow,1974.0
13091003,Kibera Kid,2006.0
4040882,The World According to John Coltrane,1990.0
28742538,City Beneath the Sea,1971.0
12409066,Kasak,2005.0
30437887,Thiruthalvaadi,1992.0
26137128,The Bone Snatcher,2003.0
23445121,No Impact Man: The Documentary,2009.0
15739559,The Third Eye,1920.0
34470083,Rollo and the Spirit of the Woods,2001.0
16304395,Enemy Territory,1987.0
748616,"Spring, Summer, Fall, Winter... and Spring",2003.0
36151270,Agneekaal,1990.0
31505444,Blockade,1938.0
336846,Grease,1978.0
27463222,Vanishing on 7th Street,2010.0
22256486,A Hundred and One Nights,1995.0
3179118,I Clowns,1971.0
3249964,House by the River,1950.0
21906878,Pedro Páramo,1967.0
142911,Thunderbolt,1910.0
15007384,Le Grand jeu,1934.0
31751930,Chanakya Chandragupta,1977.0
23968563,Open All Night,1934.0
11692389,The Snow Queen,2005.0
31256008,Tesha,1928.0
2316181,El derecho de nacer,1951.0
6330031,Annie Laurie,1927.0
8366514,Susan and God,1940.0
3829646,What Have I Done To Deserve This?,1984.0
29146560,The Nut,1921.0
3310726,Yolanda and the Thief,1945.0
20119316,Eoudong,1985.0
27874961,The Iron Rose,1973.0
3033993,Becoming Jane,2007.0
1588008,Heidi Fleiss: Hollywood Madam,1995.0
13291849,True Heart,1997.0
12491178,A Broken Life,2007.0
5696825,The Dark Half,1993.0
6795113,Rettai Jadai Vayasu,1997.0
30173306,Ab Insaf Hoga,1995.0
30405742,Plug & Pray,2010.0
32852698,Sinners in the Sun,1932.0
32417200,André and Ursula,1955.0
103021,Midnight Express,1978.0
21793185,Az Életbe táncoltatott leány,1964.0
24011583,In the Name of the Fatherland,1943.0
33144131,Fly Away,2010.0
31025540,El Recuerdo de aquella noche,1945.0
1940449,RoboCop 3,1993.0
8973241,Emperor's Dream,1947.0
18496109,The Stranger,2000.0
5261530,Carter’s Army,1970.0
5384210,Gagamboy,2004.0
6795107,Aval Varuvala,1998.0
2174795,Improper Conduct,1984.0
30109815,Rogues' Regiment,1948.0
73842,Gertie the Dinosaur,1914.0
20433908,Adhikar,1971.0
29551629,Tradition is a Temple,2011.0
27365295,Hell Boats,1970.0
6703617,The Forbidden Kingdom,2008.0
14294670,Heart of the Storm,2004.0
22466518,There It Is,1928.0
20545821,Burning Down Tomorrow,1990.0
6367133,Behind the Mask,2006.0
21737016,Eagle's Wing,1979.0
19389755,Asylum Seekers,2009.0
29174042,Toll Booth,2010.0
14907363,The Newer Way,1915.0
29851917,Jungle Bride,1933.0
362719,Superman,1978.0
30353952,Hababam Sınıfı Tatilde,1977.0
2870618,Boy called Twist,2004.0
21271533,Bleeder,1999.0
18821340,Yatrik,1952.0
16055450,If They Tell You I Fell,1989.0
